Cnot11	Cnot12	Cnot13	Ctrl1	Ctrl2	Ctrl3
ENSG00000006837	1	2	1	0	0	2
ENSG00000007001	0	0	0	0	0	0
ENSG00000007038	0	0	0	0	0	0
ENSG00000007047	71	73	81	45	63	68
ENSG00000007062	0	0	0	0	0	2
ENSG00000007080	26	22	22	16	24	16
ENSG00000007129	0	0	0	0	0	0
ENSG00000007168	10	15	18	7	8	14
ENSG00000007171	0	0	0	0	0	0
ENSG00000007174	0	0	0	0	2	1
ENSG00000007202	158	126	44	48	11	17
ENSG00000007216	0	0	0	0	0	0
ENSG00000007237	20	39	29	14	25	24
ENSG00000007255	4	3	5	0	2	3
ENSG00000007264	3	2	2	2	0	5
ENSG00000007306	0	0	0	0	0	0
ENSG00000007312	3	2	1	1	1	4
ENSG00000007314	0	3	3	2	2	9
ENSG00000007341	18	24	9	13	9	1
ENSG00000007350	0	0	0	0	0	0
ENSG00000007372	10	12	12	3	5	5
ENSG00000007376	20	19	24	11	17	12
ENSG00000007384	51	71	78	49	56	73
ENSG00000007392	15	22	21	4	13	17
ENSG00000007402	1	1	3	6	8	14
ENSG00000007516	9	8	8	13	13	15
ENSG00000007520	4	0	4	4	0	4
ENSG00000007541	51	48	46	48	60	56
ENSG00000007545	19	29	28	15	20	30
ENSG00000007908	0	0	0	0	0	0
ENSG00000007923	49	85	55	18	48	32
ENSG00000007933	0	0	0	0	0	0
ENSG00000007944	5	1	5	2	1	2
ENSG00000007952	0	1	0	0	0	1
ENSG00000008056	0	0	0	1	0	0
ENSG00000008083	13	38	32	28	0	2
ENSG00000008086	15	25	18	8	17	16
ENSG00000008118	0	0	1	0	0	0
ENSG00000008128	40	45	67	11	37	51
ENSG00000008130	37	35	48	25	33	37
ENSG00000008196	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	0	0	0	0	0	0
ENSG00000008256	18	31	17	12	11	12
ENSG00000008277	4	5	4	1	1	4
ENSG00000008282	42	59	51	16	40	43
ENSG00000008283	9	20	8	4	11	15
ENSG00000008294	58	197	162	52	123	58
ENSG00000008311	10	8	9	5	12	21
ENSG00000008323	2	4	5	7	16	19
ENSG00000008324	4	1	12	1	4	2
ENSG00000008382	5	5	6	6	14	7
ENSG00000008394	25	43	37	17	14	24
ENSG00000008405	2	3	1	0	1	2
ENSG00000008441	57	53	47	28	44	43
ENSG00000008513	17	32	29	10	16	14
ENSG00000008516	0	0	0	0	0	0
ENSG00000008517	5	10	8	3	4	11
ENSG00000008710	17	24	326	186	221	275
ENSG00000008838	117	157	30	66	89	113
ENSG00000008853	49	53	41	30	30	28
ENSG00000008869	0	0	2	0	0	0
ENSG00000008952	51	79	84	34	38	66
ENSG00000008988	167	230	213	141	196	210
ENSG00000009307	257	413	338	205	316	287
ENSG00000009335	12	4	9	3	13	13
ENSG00000009413	76	113	117	42	55	62
ENSG00000009694	0	0	0	0	0	0
ENSG00000009709	0	0	0	1	0	1
ENSG00000009724	0	0	0	0	0	0
ENSG00000009765	0	0	0	0	0	0
ENSG00000009780	5	3	2	2	10	6
ENSG00000009790	0	1	1	0	1	0
ENSG00000009830	27	40	39	18	28	37
ENSG00000009844	34	50	56	15	16	46
ENSG00000009950	4	2	5	4	5	5
ENSG00000009954	89	144	138	67	86	82
ENSG00000010030	5	2	8	2	5	2
ENSG00000010072	5	4	1	6	7	2
ENSG00000010165	19	31	41	22	18	13
ENSG00000010219	14	18	15	8	12	12
ENSG00000010244	109	151	154	75	110	88
ENSG00000010256	0	0	0	0	0	0
ENSG00000010270	14	27	21	13	16	20
ENSG00000010278	0	12	25	0	0	2
ENSG00000010282	0	0	0	0	0	0
ENSG00000010292	8	44	4	29	24	45
ENSG00000010295	20	25	22	10	11	15
ENSG00000010310	0	2	5	0	0	1
ENSG00000010318	0	4	0	0	0	2
ENSG00000010319	0	0	0	0	0	0
ENSG00000010322	42	66	42	49	63	74
ENSG00000010327	0	1	0	0	1	2
ENSG00000010361	4	1	21	2	7	12
ENSG00000010379	0	0	0	0	0	0
ENSG00000010404	20	29	32	19	36	44
ENSG00000010438	2	8	3	1	3	4
ENSG00000010539	6	10	7	9	8	10
ENSG00000010610	0	0	0	0	0	0
ENSG00000010626	2	4	4	5	6	1
ENSG00000010671	0	0	0	0	2	0
ENSG00000010704	4	5	2	1	7	2
ENSG00000010803	29	32	27	17	31	45
ENSG00000010810	100	141	136	42	60	63
ENSG00000010818	76	114	113	42	69	65
ENSG00000010932	1	2	3	0	2	1
ENSG00000011007	93	144	132	46	63	77
ENSG00000011009	53	51	46	23	41	31
ENSG00000011021	24	23	32	17	35	41
ENSG00000011028	1	6	5	5	7	4
ENSG00000011052	92	44	64	65	65	37
ENSG00000011083	0	0	0	0	0	0
ENSG00000011105	14	13	18	5	6	13
ENSG00000011114	14	13	19	12	4	9
ENSG00000011143	3	4	4	3	5	9
ENSG00000011198	1	0	1	0	1	0
ENSG00000011243	36	94	89	59	81	71
ENSG00000011258	8	8	14	6	7	10
ENSG00000011260	2	2	1	1	3	3
ENSG00000011275	64	94	104	35	64	75
ENSG00000011295	1	2	3	0	1	4
ENSG00000011304	272	308	318	170	214	196
ENSG00000011332	6	10	6	6	5	14
ENSG00000011347	10	10	18	5	7	6
ENSG00000011376	3	42	29	0	21	32
ENSG00000011405	151	224	217	69	119	126
ENSG00000011422	22	42	53	32	39	23
ENSG00000011426	18	16	42	27	22	51
ENSG00000011451	78	92	43	65	115	53
ENSG00000011454	16	15	13	9	5	10
ENSG00000011465	146	234	241	108	177	189
ENSG00000011478	1	0	8	0	0	6
ENSG00000011485	86	108	90	31	56	63
ENSG00000011523	7	25	13	6	2	20
ENSG00000011566	39	46	61	7	25	29
ENSG00000011590	0	0	0	1	2	1
ENSG00000011600	0	0	0	0	0	0
ENSG00000011638	5	5	2	3	7	6
ENSG00000011677	0	0	0	0	0	1
ENSG00000012048	33	51	6	8	46	7
ENSG00000012061	40	47	49	37	42	35
ENSG00000012124	3	2	3	0	0	0
ENSG00000012171	16	14	21	16	6	9
ENSG00000012174	6	24	10	0	1	0
ENSG00000012211	5	2	22	2	17	12
ENSG00000012223	0	0	0	0	0	0
ENSG00000012232	24	16	30	12	5	10
ENSG00000012504	0	0	0	0	0	0
ENSG00000012660	45	45	85	43	42	22
ENSG00000012779	0	0	0	0	0	0
ENSG00000012817	50	61	54	40	48	52
ENSG00000012822	90	42	82	63	63	118
ENSG00000012963	0	4	1	0	0	0
ENSG00000012983	42	80	50	39	43	55
ENSG00000013275	34	6	37	24	34	23
ENSG00000013288	69	81	76	55	88	115
ENSG00000013297	12	12	18	9	13	16
ENSG00000013306	55	37	62	45	69	88
ENSG00000013364	60	56	60	30	51	53
ENSG00000013374	96	107	112	55	77	73
ENSG00000013375	46	43	18	17	26	20
ENSG00000013441	27	59	41	6	44	50
ENSG00000013503	1	40	23	10	0	6
ENSG00000013523	5	1	4	0	4	4
ENSG00000013561	38	43	38	18	35	29
ENSG00000013563	10	16	10	3	12	10
ENSG00000013573	34	45	20	21	27	22
ENSG00000013583	0	3	2	3	3	2
ENSG00000013588	37	52	66	20	28	35
ENSG00000013619	10	17	17	7	19	8
ENSG00000013725	0	1	0	0	0	1
ENSG00000013810	3	6	7	5	1	9
ENSG00000014138	7	9	8	2	5	7
ENSG00000014164	0	0	0	0	0	0
ENSG00000014216	151	177	153	99	161	173
ENSG00000014257	3	6	10	8	5	4
ENSG00000014824	9	3	4	0	4	4
ENSG00000014914	0	3	0	0	2	3
ENSG00000014919	32	43	40	16	32	32
ENSG00000015133	3	1	4	1	3	1
ENSG00000015153	8	23	19	8	11	16
ENSG00000015171	23	47	39	32	31	43
ENSG00000015285	0	0	0	0	0	0
ENSG00000015413	0	0	1	0	0	0
ENSG00000015475	16	16	26	7	12	18
ENSG00000015479	26	162	156	57	137	153
ENSG00000015520	0	1	0	1	0	0
ENSG00000015532	24	14	18	21	15	13
ENSG00000015568	4	13	21	9	0	1
ENSG00000015592	0	0	0	0	0	0
ENSG00000016082	0	0	1	0	0	0
ENSG00000016391	0	1	0	0	0	0
ENSG00000016402	1	1	0	1	3	3
ENSG00000016490	0	0	0	0	0	0
ENSG00000016602	0	0	0	0	0	0
ENSG00000016864	19	39	34	7	22	16
ENSG00000017260	130	215	215	89	120	137
ENSG00000017427	0	0	0	0	0	0
ENSG00000017483	11	5	14	13	7	12
ENSG00000017797	30	43	48	20	21	34
ENSG00000018189	6	16	1	3	7	11
ENSG00000018236	0	0	1	0	2	2
ENSG00000018280	0	0	0	0	0	0
ENSG00000018408	68	78	91	33	40	43
ENSG00000018510	58	43	8	6	37	34
ENSG00000018610	4	12	10	6	14	10
ENSG00000018625	4	5	7	1	0	0
ENSG00000018699	1	1	2	0	1	1
ENSG00000018869	2	2	1	2	2	2
ENSG00000019102	0	0	0	0	0	0
ENSG00000019144	60	61	77	28	42	64
ENSG00000019169	0	3	0	0	0	0
ENSG00000019186	1	20	0	5	5	1
ENSG00000019485	14	18	27	10	11	15
ENSG00000019505	0	0	0	0	0	0
ENSG00000019549	1	1	2	0	0	2
ENSG00000019582	3	7	4	2	7	4
ENSG00000019991	0	0	0	0	0	0
ENSG00000019995	74	124	86	37	71	71
ENSG00000020129	53	60	59	41	71	67
ENSG00000020181	21	0	18	11	0	16
ENSG00000020256	30	32	45	23	32	29
ENSG00000020426	12	20	25	12	15	13
ENSG00000020577	42	47	56	23	29	31
ENSG00000020633	7	5	12	9	9	10
ENSG00000020922	23	46	43	17	23	52
ENSG00000021300	0	0	1	0	2	0
ENSG00000021461	0	1	0	0	0	1
ENSG00000021488	0	0	0	0	1	1
ENSG00000021574	13	10	16	7	6	14
ENSG00000021645	1	1	1	0	0	1
ENSG00000021762	26	27	41	6	30	15
ENSG00000021776	4	16	0	8	10	4
ENSG00000021826	0	0	0	0	1	0
ENSG00000021852	0	0	0	0	0	0
ENSG00000022267	24	37	36	13	26	31
ENSG00000022277	55	63	64	26	60	36
ENSG00000022355	1	1	1	0	0	0
ENSG00000022556	0	0	0	0	1	2
ENSG00000022567	12	8	21	12	20	17
ENSG00000022840	36	76	173	44	81	56
ENSG00000022976	10	18	6	8	12	13
ENSG00000023041	13	14	13	8	10	17
ENSG00000023171	31	40	34	13	24	21
ENSG00000023191	46	51	44	26	52	42
ENSG00000023228	24	44	31	19	39	36
ENSG00000023287	140	213	198	21	140	134
ENSG00000023330	75	108	108	46	70	70
ENSG00000023445	5	9	5	2	9	3
ENSG00000023572	12	9	17	5	11	8
ENSG00000023697	2	19	18	6	12	14
ENSG00000023734	30	54	34	43	8	6
ENSG00000023839	0	0	0	0	0	0
ENSG00000023892	1	0	0	0	0	1
ENSG00000023902	3	4	9	6	1	0
ENSG00000023909	18	0	25	0	3	1
ENSG00000024048	71	106	88	41	85	88
ENSG00000024422	2	21	15	8	21	6
ENSG00000024526	16	25	14	6	1	7
ENSG00000024862	6	10	16	8	6	7
ENSG00000025039	3	6	3	2	1	4
ENSG00000025156	4	11	10	2	5	11
ENSG00000025293	5	5	0	5	16	7
ENSG00000025423	1	3	4	0	0	0
ENSG00000025434	3	6	5	5	8	8
ENSG00000025708	16	7	3	5	7	25
ENSG00000025770	26	34	36	27	26	36
ENSG00000025796	1	1	4	3	2	1
ENSG00000025800	3	5	2	2	17	14
ENSG00000026025	593	722	693	288	510	404
ENSG00000026036	0	0	13	0	2	3
ENSG00000026103	13	0	34	1	13	7
ENSG00000026297	9	10	8	9	11	11
ENSG00000026508	370	471	460	150	202	165
ENSG00000026559	5	15	15	3	5	2
ENSG00000026652	7	6	8	3	1	3
ENSG00000026751	0	1	0	1	1	0
ENSG00000026950	29	25	17	4	19	27
ENSG00000027075	0	10	3	2	1	1
ENSG00000027697	44	64	71	30	16	31
ENSG00000027847	0	1	3	0	1	3
ENSG00000027869	0	3	4	1	5	1
ENSG00000028116	27	41	54	23	19	36
ENSG00000028137	2	2	1	2	1	0
ENSG00000028203	35	22	46	8	24	17
ENSG00000028277	20	36	34	8	32	17
ENSG00000028310	17	19	31	17	15	24
ENSG00000028528	52	18	89	45	70	65
ENSG00000028839	11	15	13	2	6	9
ENSG00000029153	8	16	17	3	14	11
ENSG00000029363	113	192	155	56	92	99
ENSG00000029364	20	20	17	10	18	14
ENSG00000029534	5	8	1	14	16	1
ENSG00000029725	69	91	3	58	60	65
ENSG00000029993	8	23	21	9	18	13
ENSG00000030066	67	97	113	55	77	78
ENSG00000030110	15	23	21	12	26	26
ENSG00000030304	0	0	1	0	0	0
ENSG00000030419	6	4	10	0	9	0
ENSG00000030582	595	678	567	425	615	655
ENSG00000031003	49	56	62	21	33	50
ENSG00000031081	0	0	3	0	1	0
ENSG00000031698	14	11	151	73	95	6
ENSG00000031823	68	95	97	34	49	70
ENSG00000032219	17	28	4	10	34	33
ENSG00000032389	15	24	25	12	15	13
ENSG00000032444	139	150	174	83	116	158
ENSG00000032742	7	6	5	3	4	5
ENSG00000033011	28	34	32	12	19	23
ENSG00000033030	10	5	9	9	7	4
ENSG00000033050	3	10	0	1	0	4
ENSG00000033100	100	113	128	61	77	98
ENSG00000033122	0	0	0	0	0	0
ENSG00000033170	54	93	69	30	44	39
ENSG00000033178	13	22	13	6	13	9
ENSG00000033327	8	5	22	0	0	0
ENSG00000033627	31	47	45	9	40	32
ENSG00000033800	38	65	71	34	50	44
ENSG00000033867	53	72	71	22	35	41
ENSG00000034053	30	37	46	18	26	27
ENSG00000034152	14	81	80	30	59	36
ENSG00000034239	0	0	0	0	0	0
ENSG00000034533	17	10	11	10	10	21
ENSG00000034677	19	35	26	20	19	21
ENSG00000034693	0	2	0	2	1	3
ENSG00000034713	9	25	18	16	17	16
ENSG00000034971	0	0	0	0	0	0
ENSG00000035115	5	7	5	1	7	4
ENSG00000035141	5	11	8	3	3	13
ENSG00000035403	227	283	267	110	147	151
ENSG00000035499	3	1	0	4	0	2
ENSG00000035664	9	9	8	2	2	3
ENSG00000035681	37	12	76	22	41	12
ENSG00000035720	0	0	0	0	0	0
ENSG00000035862	114	132	146	70	100	120
ENSG00000035928	11	64	21	39	6	49
ENSG00000036054	10	77	55	13	47	29
ENSG00000036257	87	130	139	44	99	89
ENSG00000036448	0	0	0	0	0	0
ENSG00000036530	0	0	0	0	0	0
ENSG00000036549	6	4	6	2	9	2
ENSG00000036565	0	0	0	0	0	0
ENSG00000036672	4	8	19	1	2	6
ENSG00000036828	0	0	0	0	0	1
ENSG00000037241	16	34	36	17	27	25
ENSG00000037280	4	0	0	0	0	0
ENSG00000037474	68	3	15	31	25	68
ENSG00000037637	3	0	3	0	2	1
ENSG00000037749	26	38	30	15	16	17
ENSG00000037757	4	2	0	2	0	0
ENSG00000037897	4	2	2	1	1	1
ENSG00000038002	0	1	1	0	0	1
ENSG00000038210	3	7	4	7	7	2
ENSG00000038219	5	11	6	4	4	3
ENSG00000038274	29	38	17	15	34	26
ENSG00000038295	0	0	0	0	0	0
ENSG00000038358	2	3	1	1	3	1
ENSG00000038382	105	199	125	39	30	141
ENSG00000038427	13	23	24	7	3	7
ENSG00000038532	32	50	44	21	43	24
ENSG00000038945	0	0	0	0	1	0
ENSG00000039068	0	0	0	1	1	1
ENSG00000039123	0	2	1	1	3	0
ENSG00000039139	1	1	3	0	1	1
ENSG00000039319	33	59	66	24	39	40
ENSG00000039523	124	175	177	81	21	131
ENSG00000039537	0	0	0	0	0	0
ENSG00000039560	152	191	219	78	105	105
ENSG00000039600	0	4	6	0	1	1
ENSG00000039650	34	31	37	17	33	29
ENSG00000039987	0	0	1	0	0	0
ENSG00000040199	40	70	54	26	23	38
ENSG00000040275	7	5	2	2	10	9
ENSG00000040341	23	33	39	7	31	32
ENSG00000040487	27	31	27	10	18	12
ENSG00000040531	10	11	13	5	6	5
ENSG00000040608	11	17	15	3	10	8
ENSG00000040633	44	71	84	33	43	31
ENSG00000040731	0	0	0	0	0	0
ENSG00000040933	16	25	24	19	28	26
ENSG00000041353	1	0	1	0	0	1
ENSG00000041357	104	160	125	35	73	88
ENSG00000041802	7	14	4	5	11	0
ENSG00000041880	16	13	11	5	14	16
ENSG00000041982	219	276	260	144	236	205
ENSG00000041988	6	7	4	6	3	4
ENSG00000042062	7	11	15	4	8	9
ENSG00000042088	12	25	20	5	11	16
ENSG00000042286	16	28	25	9	19	19
ENSG00000042304	0	0	0	0	0	0
ENSG00000042317	2	7	1	0	1	9
ENSG00000042429	28	70	58	13	35	26
ENSG00000042445	6	12	12	0	23	1
ENSG00000042493	25	39	23	19	34	34
ENSG00000042753	53	65	55	33	30	33
ENSG00000042781	0	0	0	0	0	0
ENSG00000042813	0	0	0	0	0	0
ENSG00000042832	3	2	0	0	1	1
ENSG00000042980	0	1	0	0	0	0
ENSG00000043093	17	23	11	14	0	16
ENSG00000043143	61	65	80	32	37	34
ENSG00000043462	0	1	0	0	0	0
ENSG00000043514	8	19	17	7	10	6
ENSG00000044090	12	17	29	17	22	21
ENSG00000044115	334	424	453	69	293	78
ENSG00000044459	4	3	5	2	0	4
ENSG00000044524	2	2	1	0	0	1
ENSG00000046604	3	2	1	3	2	3
ENSG00000046647	4	7	6	3	2	1
ENSG00000046651	2	29	5	0	19	8
ENSG00000046653	1	0	2	1	2	1
ENSG00000047056	17	23	11	13	12	13
ENSG00000047188	3	5	5	6	4	2
ENSG00000047230	10	13	15	7	5	9
ENSG00000047249	77	98	98	30	42	26
ENSG00000047315	94	151	139	73	105	120
ENSG00000047346	63	119	105	39	53	64
ENSG00000047365	1	0	4	2	3	3
ENSG00000047410	23	43	9	17	24	25
ENSG00000047457	0	0	1	0	0	2
ENSG00000047578	2	1	3	3	2	2
ENSG00000047579	19	28	29	16	17	11
ENSG00000047617	2	3	3	6	6	9
ENSG00000047621	9	17	22	8	9	15
ENSG00000047634	7	3	18	13	0	4
ENSG00000047644	41	53	48	31	63	56
ENSG00000047648	6	9	1	0	1	4
ENSG00000047849	272	475	422	150	213	262
ENSG00000047932	3	21	20	4	2	8
ENSG00000047936	0	0	0	0	0	0
ENSG00000048028	39	60	53	29	44	48
ENSG00000048052	23	25	31	15	16	10
ENSG00000048140	16	14	11	19	35	28
ENSG00000048162	23	25	23	5	10	18
ENSG00000048342	15	13	13	15	14	20
ENSG00000048392	7	7	10	4	8	3
ENSG00000048405	29	36	34	14	24	31
ENSG00000048462	0	0	1	0	0	1
ENSG00000048471	2	8	1	0	2	4
ENSG00000048540	0	0	0	0	0	0
ENSG00000048545	0	1	1	0	0	0
ENSG00000048649	102	174	155	58	121	97
ENSG00000048707	101	16	32	93	102	12
ENSG00000048740	17	26	24	13	20	21
ENSG00000048828	58	101	35	27	81	50
ENSG00000048991	36	62	74	34	47	67
ENSG00000049089	0	0	0	0	0	0
ENSG00000049130	0	0	0	2	1	0
ENSG00000049167	4	12	6	5	4	9
ENSG00000049192	0	0	2	0	4	2
ENSG00000049239	29	34	34	7	27	41
ENSG00000049245	0	0	0	0	0	2
ENSG00000049246	12	25	16	9	14	12
ENSG00000049247	0	0	0	0	0	0
ENSG00000049249	0	1	1	0	0	0
ENSG00000049283	0	0	0	0	0	0
ENSG00000049323	16	39	40	16	25	36
ENSG00000049449	77	81	106	26	49	52
ENSG00000049540	55	52	66	19	38	71
ENSG00000049541	20	32	24	21	17	10
ENSG00000049618	128	217	217	22	65	62
ENSG00000049656	9	0	14	16	25	22
ENSG00000049759	23	82	84	24	31	28
ENSG00000049768	0	0	0	0	0	0
ENSG00000049769	1	7	6	0	3	1
ENSG00000049860	29	43	8	13	40	34
ENSG00000049883	4	11	2	3	8	3
ENSG00000050030	1	0	0	0	2	1
ENSG00000050130	36	21	40	29	22	7
ENSG00000050165	79	109	74	58	102	106
ENSG00000050327	13	19	10	4	17	17
ENSG00000050344	0	0	1	0	0	0
ENSG00000050393	13	31	17	9	12	19
ENSG00000050405	104	167	112	61	100	84
ENSG00000050426	3	26	9	5	7	10
ENSG00000050438	3	0	3	1	1	1
ENSG00000050555	0	0	1	0	1	1
ENSG00000050628	0	4	0	0	2	2
ENSG00000050730	1	0	2	0	1	0
ENSG00000050748	13	26	24	10	30	27
ENSG00000050767	1	0	0	0	0	0
ENSG00000050820	225	281	250	103	146	164
ENSG00000051009	28	47	42	22	36	40
ENSG00000051108	129	62	63	53	76	52
ENSG00000051128	33	70	59	30	46	58
ENSG00000051180	9	17	17	11	5	6
ENSG00000051341	18	16	22	15	30	11
ENSG00000051382	33	53	75	23	53	53
ENSG00000051523	4	10	7	11	7	8
ENSG00000051596	23	34	38	19	21	30
ENSG00000051620	5	1	2	2	0	6
ENSG00000051825	12	22	11	0	11	21
ENSG00000052126	58	83	76	25	44	61
ENSG00000052344	12	19	3	1	0	6
ENSG00000052723	15	16	16	2	10	11
ENSG00000052749	34	77	65	55	64	32
ENSG00000052795	4	13	13	7	7	6
ENSG00000052802	38	37	75	26	69	70
ENSG00000052841	61	74	67	31	32	51
ENSG00000053108	0	0	0	0	1	0
ENSG00000053254	38	42	36	15	31	36
ENSG00000053328	0	0	0	3	0	0
ENSG00000053371	18	19	19	8	20	19
ENSG00000053501	9	5	11	2	7	3
ENSG00000053524	1	1	0	0	0	0
ENSG00000053702	0	0	1	0	0	0
ENSG00000053747	22	41	37	22	20	44
ENSG00000053770	21	41	7	12	12	17
ENSG00000053900	15	39	34	11	17	33
ENSG00000053918	0	0	0	0	0	0
ENSG00000054116	26	31	22	13	23	20
ENSG00000054118	76	120	116	62	74	85
